Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
208.180146,0.000000,14.906050,0.000000,0.140473,0.140473,0.051748,0.000000,0.000000,0.000000,0.000000,0.367666,0.049727,0.030819,-0.657914,-0.137803,0.004778,-0.000074,-0.000028,-0.104720
212.909088,0.000000,14.987245,0.000000,0.140914,0.140914,0.052297,0.000000,0.000000,0.000000,0.000000,0.367666,0.049727,0.022803,-0.690350,-0.139273,0.004240,-0.000073,-0.000026,-0.104720
217.643213,0.000000,15.066415,0.000000,0.141366,0.141366,0.052835,0.000000,0.000000,0.000000,0.000000,0.385960,0.041284,0.015115,-0.721417,-0.140727,0.003739,-0.000072,-0.000025,-0.104720
222.381892,0.000000,15.029413,0.000000,0.141827,0.141827,0.052558,0.000000,0.000000,0.000000,0.000000,0.385960,0.041284,0.006276,-0.745512,-0.142173,0.003249,-0.000072,-0.000025,-0.104720
227.110517,0.000000,14.879126,0.000000,0.142298,0.142298,0.051487,0.000000,0.000000,0.000000,0.000000,0.385960,0.041284,-0.268761,-0.305583,-0.143638,0.002769,-0.000075,-0.000022,-0.104720
231.834223,0.000000,14.956118,0.000000,0.142778,0.142778,0.052003,0.000000,0.000000,0.000000,0.000000,0.385960,0.041284,0.180590,-0.069552,-0.145152,0.002380,-0.000076,-0.000016,-0.104720
236.560844,0.000000,15.031346,0.000000,0.143269,0.143269,0.052508,0.000000,0.000000,0.000000,0.000000,0.385960,0.041284,-0.095791,0.360284,-0.146640,0.002105,-0.000073,-0.000011,-0.104720
241.284211,0.000000,15.105521,0.000000,0.143770,0.143770,0.053016,0.000000,0.000000,0.000000,0.000000,0.403784,0.027802,0.629436,0.139039,-0.148107,0.001916,-0.000073,-0.000008,-0.104720
246.008507,0.000000,14.952779,0.000000,0.144280,0.144280,0.051921,0.000000,0.000000,0.000000,0.000000,0.403784,0.027802,0.152720,-0.155985,-0.149562,0.001783,-0.000073,-0.000006,-0.104720
250.722084,0.000000,14.913614,0.000000,0.144801,0.144801,0.051628,0.000000,0.000000,0.000000,0.000000,0.403784,0.027802,-0.123486,0.276882,-0.151016,0.001676,-0.000073,-0.000005,-0.104720
255.432850,0.000000,14.985864,0.000000,0.145331,0.145331,0.052117,0.000000,0.000000,0.000000,0.000000,0.403784,0.027802,0.598356,0.061207,-0.152478,0.001569,-0.000073,-0.000006,-0.104720
260.149143,0.000000,15.056035,0.000000,0.145871,0.145871,0.052576,0.000000,0.000000,0.000000,0.000000,0.403784,0.027802,0.130761,-0.230562,-0.153954,0.001437,-0.000075,-0.000008,-0.104720
264.864913,0.000000,15.124839,0.000000,0.146421,0.146421,0.053033,0.000000,0.000000,0.000000,0.000000,0.417625,0.007159,-0.147966,0.205786,-0.155434,0.001265,-0.000072,-0.000009,-0.104720
269.581159,0.000000,14.858880,0.000000,0.146981,0.146981,0.051164,0.000000,0.000000,0.000000,0.000000,0.417625,0.007159,0.107881,-0.285688,-0.156838,0.001082,-0.000069,-0.000008,-0.104720
274.289212,0.000000,14.926762,0.000000,0.147551,0.147551,0.051609,0.000000,0.000000,0.000000,0.000000,0.417625,0.007159,0.100345,-0.315245,-0.158210,0.000939,-0.000068,-0.000005,-0.104720
278.993868,0.000000,14.993483,0.000000,0.148131,0.148131,0.052047,0.000000,0.000000,0.000000,0.000000,0.417625,0.007159,0.093121,-0.343466,-0.159583,0.000850,-0.000069,-0.000003,-0.104720
